Mess,Month,Meal,Waste_KG,Plates,Waste_Percent,Estimated_Dish
J-MESS,Nov-23,LUNCH,889,40837,2,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
J-MESS,Nov-23,SNACKS,0,46388,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
J-MESS,Nov-23,DINNER,1052,46388,2,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
J-MESS,Dec-23,BF,237,8377,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
J-MESS,Dec-23,LUNCH,306,9939,3,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
J-MESS,Dec-23,SNACKS,0,9655,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
J-MESS,Dec-23,DINNER,436,9655,5,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
J-MESS,Jan-24,BF,121,8000,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
J-MESS,Jan-24,LUNCH,160,12378,1,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
J-MESS,Jan-24,SNACKS,0,12944,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
J-MESS,Jan-24,DINNER,165,13894,1,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
J-MESS,Feb-24,BF,781,27498,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
J-MESS,Feb-24,LUNCH,890,47297,2,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
J-MESS,Feb-24,SNACKS,0,54188,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
J-MESS,Feb-24,DINNER,1009,54188,2,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
J-MESS,Mar-24,BF,898,27497,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
J-MESS,Mar-24,LUNCH,1066,48611,2,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
J-MESS,Mar-24,SNACKS,0,55935,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
J-MESS,Mar-24,DINNER,1231,55805,2,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
MEENAKSHI,Apr-23,BF,114,5650,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
MEENAKSHI,Apr-23,LUNCH,388,6976,6,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
MEENAKSHI,Apr-23,SNACKS,0,7226,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
MEENAKSHI,Apr-23,DINNER,393,7186,5,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
MEENAKSHI,May-23,BF,119,5100,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
MEENAKSHI,May-23,LUNCH,387,7038,5,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
MEENAKSHI,May-23,SNACKS,0,7324,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
MEENAKSHI,May-23,DINNER,400.5,7272,6,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
MEENAKSHI,Jun-23,BF,126,3090,4,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
MEENAKSHI,Jun-23,LUNCH,317.5,3286,10,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
MEENAKSHI,Jun-23,SNACKS,0,3314,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
MEENAKSHI,Jun-23,DINNER,352,3311,11,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
MEENAKSHI,Jul-23,BF,83,1175,7,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
MEENAKSHI,Jul-23,LUNCH,177.5,1258,14,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
MEENAKSHI,Jul-23,SNACKS,0,1326,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
MEENAKSHI,Jul-23,DINNER,145,1161,12,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
MEENAKSHI,Aug-23,BF,198.5,9722,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
MEENAKSHI,Aug-23,LUNCH,269.5,10815,2,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
MEENAKSHI,Aug-23,SNACKS,0,11822,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
MEENAKSHI,Aug-23,DINNER,275.5,11822,2,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
MEENAKSHI,Sep-23,BF,205,10380,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
MEENAKSHI,Sep-23,LUNCH,297,12067,2,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
MEENAKSHI,Sep-23,SNACKS,0,12467,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
MEENAKSHI,Sep-23,DINNER,341,12467,3,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
MEENAKSHI,Oct-23,BF,183,9230,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
MEENAKSHI,Oct-23,LUNCH,309,18922,2,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
MEENAKSHI,Oct-23,SNACKS,0,12152,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
MEENAKSHI,Oct-23,DINNER,382,12142,3,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
MEENAKSHI,Nov-23,BF,181,8170,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
MEENAKSHI,Nov-23,LUNCH,376,11536,3,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
MEENAKSHI,Nov-23,SNACKS,0,12450,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
MEENAKSHI,Nov-23,DINNER,469,12450,4,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
MEENAKSHI,Dec-23,BF,116,5311,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
MEENAKSHI,Dec-23,LUNCH,241,6570,4,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
MEENAKSHI,Dec-23,SNACKS,0,7129,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
MEENAKSHI,Dec-23,DINNER,301,7162,4,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
MEENAKSHI,Jan-24,BF,135,6037,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
MEENAKSHI,Jan-24,LUNCH,245,10480,2,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
MEENAKSHI,Jan-24,SNACKS,0,8330,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
MEENAKSHI,Jan-24,DINNER,299,8360,4,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
MEENAKSHI,Feb-24,BF,167,8028,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
MEENAKSHI,Feb-24,LUNCH,444,11052,4,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
MEENAKSHI,Feb-24,SNACKS,0,11849,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
MEENAKSHI,Feb-24,DINNER,491,11879,4,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
MEENAKSHI,Mar-24,BF,133,8205,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
